TIME(MS),COMMAND,VALUE
417     ,5      ,1    
856     ,5      ,0    
995     ,5      ,1    
1342    ,5      ,0    
3610    ,5      ,1    
4120    ,5      ,0    
4282    ,5      ,1    
4907    ,5      ,0    
7059    ,5      ,1    
7429    ,5      ,0    
7638    ,5      ,1    
8309    ,5      ,0    
10484   ,5      ,1    
10855   ,5      ,0    
10970   ,5      ,1    
11387   ,5      ,0    
12868   ,5      ,1    
13169   ,5      ,0    
13261   ,5      ,1    
13771   ,5      ,0    
17150   ,5      ,1    
17497   ,5      ,0    
17497   ,5      ,1    
17798   ,5      ,0    
17898   ,END    ,1    
